Date;Tweet;Hashtags/keyword;Sentiment
03/03/2020;Ini bukti pemerintah pusat gak koordinasi dr awal terkait wabah corona. Terlalu santai dan selalu menganggap kita zero kasus. Hrsnya dr awal semua kepala daerah dikumpulin dan diberi arahan. Keliatan gk kompak. Payah! @mohmahfudmd @jokowi #VirusCoronaindonesia https://twitter.com/geloraco/status/1234790775788949504 …;['#VirusCoronaindonesia'];negatif
03/03/2020;"Untuk para reseller dan penimbun masker dengan harga yang tak wajar
.
Semoga virus Corona cepat menghantam anda dan segera mengantarkan anda ke neraka secepat mungkin
.
Sekian dan terimakasih! 
.
#VirusCoronaindonesia";['#VirusCoronaindonesia'];netral
03/03/2020;"Ini bisa bikin gerah buzzer tengik 

#VirusCoronaindonesia
@mohmahfudmdhttps://twitter.com/KATADATAcoid/status/1234753939763056640 …";['#VirusCoronaindonesia'];negatif
03/03/2020;"Nyatanya, oknum penjual masker lebih ""mematikan"" daripada virus corona.
(300rb/box)

#VirusCoronaindonesia #coronavirus #Covid_19 #COVID19indonesia";['#VirusCoronaindonesia'];netral
03/03/2020;"Percaya Kuasa Yesus 

#VirusCoronaindonesia
#Covid_19
#motivasihidup
#omkpic.twitter.com/bWZu8ujMeF";['#VirusCoronaindonesia'];netral
03/03/2020;"Semoga dijauhkan dari VIRUS, Dan
didekatkan dengan yang SERIUS. 
#VirusCoronaindonesia
#VIRUS_CORONA
#VirusCoronaupdate
#Covid_19
#COVID19indonesia";['#VirusCoronaindonesia'];netral
03/03/2020;"Corona ??
Sudah memberikan imajinasi dan inovasi bagi para marketing masker ..
Luar biasa emang +62 
Menjadikan momentum virus sebagai alat bisnis .
#corona #virus #VirusCoronaindonesia";['#VirusCoronaindonesia'];netral
03/03/2020;Ternyata corona bukan hanya menyasar ke tubuh manusia,. Termos yang baru saya beli juga jadi sasaran corona #VirusCorona #corona #VirusCoronaindonesia pic.twitter.com/sjCDg0zsnH;['#VirusCoronaindonesia'];netral
03/03/2020;Terimakasih tuhan telah menciptakan virus corona. Karena coronamu merubah susah mandiku menjadi sering mandiku. Dan bukti kebersihan adalah iman #VirusCoronaindonesia #CoronaVirusUpdate #VirusCorona #Corona #CoronavirusOutbreak #syukur;['#VirusCoronaindonesia'];netral
03/03/2020;"Gila pokoknya dah_

#CoronaVirusIndonesia
#VirusCoronaindonesia
#VirusCoronapic.twitter.com/gd5R3rA3qG";['#VirusCoronaindonesia'];netral
03/03/2020;"Hidup itu harus bnyak belajar merenung tentang kematian. Bukannya malah berfikir 'seakan hidup 100 tahun lamanya' .

Jangan terlalu sombong , INGAT! 
""DIATAS LANGIT MASIH ADA AZAB ALLAH YG BELUM TURUN,beib"" 
#VirusCoronaindonesia
#trend
#PanikJanganWaspadaHarus";['#VirusCoronaindonesia'];netral
03/03/2020;"Stay safe guys, 
#VirusCoronaindonesia";['#VirusCoronaindonesia'];netral
03/03/2020;Kalau udh begini kasian liat wak men. Tapi beliau sering offside dlm berkomentar. #VirusCorona #viruscoronaindonesia #COVID19https://twitter.com/detikcom/status/1234880796558839808 …;['#VirusCoronaindonesia'];negatif
03/03/2020;"Cegah Penularan COVID-19, Gedung Sate Bandung akan Ditutup Sementara

#bandung #viruscorona #covid19 #viruscoronaindonesia #covid19indonesia
https://notif.id/2020/10837/news/cegah-penularan-covid-19-gedung-sate-bandung-akan-ditutup-sementara/ … lewat @Notif Indonesia";['#VirusCoronaindonesia'];positif
03/03/2020;"Semoga kita semua dijauhkan dari #VirusCorona dan bagi yang terinfeksi #VirusCorona cepat disembuhkan. 
Aamiin Yaa Rabbal Aalamiin
#VirusCoronaindonesia";['#VirusCoronaindonesia'];netral
03/03/2020;"""semoga kita dijauhkan dri virus
       dan didkatkan dgn yang serius""

""sa ae lu maimunah""
            
#VirusCoronaindonesia";['#VirusCoronaindonesia'];netral
